,doc1,doc2,doc3,doc4,doc5,doc6,doc7,doc8,doc9,doc10,doc11,doc12,doc13,doc14,doc15
Bentham,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Berkshire,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bernard,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Besides,2,2,0,0,2,2,2,1,5,2,1,5,4,2,0
Bess,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Best,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0
Bestow,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bethink,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
Better,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Betty,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Between,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Beware,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0
Beyond,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bible,0,0,2,1,1,1,1,0,0,0,1,1,2,0,0
Bibles,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Bibliographical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bildad,0,0,0,0,55,20,0,0,0,0,0,0,0,0,0
Bildad—come,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Biographical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Birmah,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bishop,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0
Bite,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Black,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0
Blacksmith,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Blackstone,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Blanc,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Blanche,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Blanco,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blang-whang,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Blanket,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Blast,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0
Bless,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Blind,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Blinding,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Blocksburg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
